;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
189;189;;-14.9833;0.034482758620689655;Hammer;0.5310796074154853;0.8026315789473685;0.375;0.007303273361362951;
190;190;;15.4864;0.06896551724137931;Rohrzange;0.0010905125408942203;0.0;0.75;0.0046106827435848435;
191;191;;6.7356;0.06896551724137931;Zollstock;0.024536532170119956;0.02631578947368421;0.75;0.0031587824978803543;
192;192;;-0.5819;0.034482758620689655;Schaufel;0.15976008724100327;0.05263157894736842;0.625;0.0022546381645042446;
193;193;;-11.1668;0.034482758620689655;MeiÃel;0.061613958560523444;0.25;0.375;0.0016425742879381438;
194;194;;15.1307;0.10344827586206896;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.11524576676138049;
195;195;1.0;-170.6185;0.06896551724137931;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.007072257127441812;
196;196;;34.979;0.06896551724137931;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.003807817444256209;
197;197;;26.0358;0.034482758620689655;Kittel;0.2677208287895311;0.6052631578947368;0.375;0.0024588591504873937;
198;198;;29.8303;0.06896551724137931;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.0016979118749945916;
199;199;;-5.7215;0.034482758620689655;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.01448363421253216;
200;200;;-20.7081;0.06896551724137931;Paprika;0.18484187568157034;0.06578947368421052;0.5;0.007569421146091871;
201;201;;-0.2737;0.034482758620689655;Tomate;0.10141766630316248;0.07894736842105263;0.375;0.0048103526778260335;
202;202;;-13.8965;0.06896551724137931;Spinat;0.15921483097055616;0.15789473684210525;0.375;0.003313691617292291;
203;203;;-8.8868;0.10344827586206896;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.012383623090202533;
204;204;;2.3848;0.06896551724137931;Kartoffel;0.2050163576881134;0.05263157894736842;0.75;0.0018136560471202442;
205;205;;7.9263;0.06896551724137931;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.004142897151402307;
