;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
141;141;;-4.8515;224;0.06896551724137931;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.0723357664432819;
142;142;;-1.3182;225;0.06896551724137931;Motorrad;0.17938931297709923;0.10526315789473684;0.625;0.004609345663423332;
143;143;;0.5284;223;0.034482758620689655;Couch;0.1717557251908397;0.34210526315789475;0.25;0.018318965367675036;
144;144;;8.76;224;0.06896551724137931;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.005042664611295344;
145;145;;6.5920000000000005;224;0.034482758620689655;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.0038290033945005413;
146;146;;-16.0494;225;0.034482758620689655;Esstisch;0.0005452562704471102;0.0;0.625;0.0030206573833143377;
147;147;;2.6901;222;0.034482758620689655;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.06536179915271687;
148;148;;5.2237;224;0.06896551724137931;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.02618316050796918;
149;149;;-10.6456;224;0.034482758620689655;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.01644457875017557;
150;150;;-38.4987;224;0.0;Schwalbe;0.08887677208287895;0.17105263157894737;0.625;0.011886374877561287;
151;151;;-7.8333;224;0.0;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.009187733925287008;
152;152;;-2.3767;224;0.034482758620689655;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.007376650624186609;
153;153;;-9.6362;224;0.034482758620689655;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.0060631737367053025;
154;154;;6.2643;225;0.034482758620689655;Storch;0.12104689203925845;0.18421052631578946;0.375;0.005059386441561022;
155;155;;0.0597;222;0.06896551724137931;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.005570041881073213;
156;156;;-8.8673;224;0.06896551724137931;Couch;0.1717557251908397;0.34210526315789475;0.25;0.014874337839951174;
157;157;;28.6939;224;0.06896551724137931;Esstisch;0.0005452562704471102;0.0;0.625;0.0037610565219624377;
158;158;;-11.4409;224;0.10344827586206896;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.003144030443498677;
159;159;;-22.9606;225;0.034482758620689655;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.008790884739395615;
160;160;;8.6002;222;0.034482758620689655;Esche;0.05343511450381679;0.6052631578947368;0.25;0.012200761157086917;
161;161;;9.4084;224;0.06896551724137931;Pappel;0.04198473282442748;0.5;0.375;0.008590562881047177;
162;162;;7.5084;224;0.0;Zypresse;0.009269356597600873;0.039473684210526314;0.625;0.006598767209223204;
163;163;;-5.0226;224;0.034482758620689655;Akazie;0.017448200654307525;0.013157894736842105;0.375;0.005285834004086553;
164;164;;30.3254;224;0.06896551724137931;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.004333640752539508;
165;165;;-6.6042;224;0.034482758620689655;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.003600958732105942;
166;166;;11.9956;224;0.034482758620689655;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.00301417639638053;
167;167;;2.6164;225;0.034482758620689655;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.002530576427758805;
168;168;;-13.7026;222;0.06896551724137931;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.04932891485679957;
169;169;;-22.2874;224;0.10344827586206896;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.019034012852818832;
170;170;;-5.4028;224;0.034482758620689655;Bluse;0.3495092693565976;0.3684210526315789;0.25;0.012005211990188235;
171;171;;26.6338;224;0.10344827586206896;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.00873017082093897;
172;172;;3.0916;224;0.10344827586206896;SchÃ¼rze;0.31624863685932386;0.19736842105263158;0.5;0.006776596827083574;
173;173;;-4.138999999999999;225;0.13793103448275862;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.0054506890308253795;
174;174;;-4.928999999999999;222;0.034482758620689655;Elster;0.09378407851690294;0.3684210526315789;0.375;0.014059789698210565;
175;175;;8.7812;224;0.06896551724137931;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.0104639205276393;
176;176;;0.866;224;0.10344827586206896;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.008216819096131388;
177;177;;12.7806;224;0.034482758620689655;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.006659564991987782;
178;178;;-4.3623;224;0.06896551724137931;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.005505986223699134;
179;179;;4.7391;224;0.06896551724137931;Storch;0.12104689203925845;0.18421052631578946;0.375;0.004611050982436566;
