;simufile;cost_function;tau;baysur_slope;regr_intercept;sigmasqr
311;52;1119503.9056032978;100;-47.77527944533169;4.965219929514034;374.1657438513696
312;53;4.5763116514954225;5;-1.6347364124527923;0.440749432744708;0.0015818567754909876
313;53;1.9210958766026913;10;-2.0695726169480224;0.4387568689409932;0.0006420774988645358
314;53;0.4336793102170663;15;-2.1676557781754284;0.44181308274447545;0.00014494629352174688
315;53;2.5609269753003417e-25;20;-2.2168409123777746;0.44506591237783355;8.558752454034598e-29
316;53;8.966930428143343;50;-2.349210892032701;0.46236402659920495;0.002996968725983738
317;53;35.85915939068181;100;-2.06623326678143;0.4558739301226961;0.011985013165334827
318;54;2862.1820294107683;5;-1.582619222324019;0.49693166150285234;0.9893474004185165
319;54;2945.3042218222527;10;-1.9901034909891937;0.47595385694936126;0.9843931222667957
320;54;2943.764571411319;15;-2.0876882940890735;0.4789642930443236;0.9838785332257083
321;54;2943.177804776464;20;-2.138777768750984;0.4821822251457899;0.983682421382508
322;54;2948.9506235558706;50;-2.33074757309034;0.5007320995951662;0.9856118394237535
323;54;2971.141969268547;100;-2.250528792870883;0.5002655801069407;0.9930287330443004
324;55;441735.27392509015;5;-3.557750036410312;1.8146132709878988;152.69107290877642
325;55;457506.06036226964;10;-1.6285765469331157;2.4223088494442484;152.90977953284414
326;55;457515.2870026774;15;-1.4378383152661733;2.4188455445642267;152.91286330303387
327;55;457517.7818165904;20;-1.3895697126501156;2.4191519898246048;152.91369713121338
328;55;457448.9018365458;50;-3.237153550195444;2.481094994296103;152.89067574750862
329;55;457373.02461384423;100;-5.803939913604091;2.560212463927403;152.86531571318324
330;56;1074929.8605464294;5;1.2267624483975625;3.536005057906334;371.5623437768508
331;56;1127941.2623135226;10;-2.824865040252266;3.055508840032573;376.9857160138779
332;56;1127980.4229783206;15;-2.2965000459780343;3.045175289117057;376.9988044713638
333;56;1128014.8379706342;20;-1.5840696259215847;3.0311254641033307;377.01030680836703
334;56;1127829.4749722725;50;4.9618828152138414;2.851187358987704;376.94835393458305
335;56;1126576.9571349944;100;17.193269703207726;2.482804401691499;376.5297316627655
336;57;4.576311651495428;5;1.6347364124527919;0.01570056725529185;0.0015818567754909878
337;57;1.9210958766026913;10;2.0695726169480224;0.01769313105900691;0.0006420774988645358
338;57;0.4336793102170667;15;2.1676557781754284;0.014636917255524691;0.00014494629352174694
339;57;2.560887078931797e-25;20;2.2168409123777746;0.011384087622166555;8.559109469719975e-29
